CODIGO;DPTO;Municipio;Población menor de 1 año (1);VOP;% VOP;DPT;% DPT;BCG;%BCG;Hepatitis B;% Hepatitis B;Hib;%Hib;Población de 1 año (1);Triple Viral;%Triple Viral
5001;Antioquia;Medellín;29085;29428.0;101.17930204572805;29907.0;102.82619907168645;41663.0;143.24565927454015;29881.0;102.73680591370122;29907.0;102.82619907168645;29314;31500.0;107.45718769188784
5002;Antioquia;Abejorral;370;333.0;90.0;334.0;90.27027027027027;189.0;51.08108108108108;334.0;90.27027027027027;334.0;90.27027027027027;369;315.0;85.36585365853658
5004;Antioquia;Abriaquí;43;30.0;69.76744186046511;30.0;69.76744186046511;16.0;37.2093023255814;30.0;69.76744186046511;30.0;69.76744186046511;43;38.0;88.37209302325581
5021;Antioquia;Alejandría;53;74.0;139.62264150943395;74.0;139.62264150943395;48.0;90.56603773584906;74.0;139.62264150943395;74.0;139.62264150943395;54;64.0;118.5185185185185
5030;Antioquia;Amagá;563;400.0;71.04795737122558;414.0;73.53463587921847;243.0;43.16163410301954;414.0;73.53463587921847;414.0;73.53463587921847;569;443.0;77.85588752196837
5031;Antioquia;Amalfi;478;494.0;103.34728033472804;504.0;105.43933054393307;312.0;65.27196652719665;504.0;105.43933054393307;504.0;105.43933054393307;477;457.0;95.80712788259959
5034;Antioquia;Andes;854;547.0;64.05152224824356;550.0;64.40281030444966;494.0;57.84543325526932;547.0;64.05152224824356;550.0;64.40281030444966;853;614.0;71.98124267291911
5036;Antioquia;Angelópolis;127;85.0;66.92913385826772;86.0;67.71653543307087;56.0;44.09448818897638;86.0;67.71653543307087;86.0;67.71653543307087;129;83.0;64.34108527131784
5038;Antioquia;Angostura;305;236.0;77.37704918032787;237.0;77.70491803278688;155.0;50.81967213114754;237.0;77.70491803278688;237.0;77.70491803278688;299;247.0;82.6086956521739
5040;Antioquia;Anorí;319;370.0;115.98746081504703;372.0;116.61442006269593;283.0;88.71473354231975;370.0;115.98746081504703;372.0;116.61442006269593;320;356.0;111.25
5042;Antioquia;Santafé de Antioquia;497;379.0;76.25754527162978;373.0;75.0503018108652;1034.0;208.04828973843058;373.0;75.0503018108652;373.0;75.0503018108652;500;396.0;79.2
5044;Antioquia;Anzá;166;131.0;78.91566265060241;131.0;78.91566265060241;82.0;49.39759036144578;132.0;79.51807228915662;131.0;78.91566265060241;166;135.0;81.32530120481928
5045;Antioquia;Apartadó;3679;2623.0;71.2965479749932;2616.0;71.10627888013047;4793.0;130.27996738244087;2602.0;70.725740690405;2616.0;71.10627888013047;3629;2879.0;79.33314962799669
5051;Antioquia;Arboletes;852;539.0;63.262910798122064;555.0;65.14084507042254;549.0;64.43661971830986;555.0;65.14084507042254;555.0;65.14084507042254;846;768.0;90.78014184397163
5055;Antioquia;Argelia;248;144.0;58.06451612903226;144.0;58.06451612903226;117.0;47.17741935483871;144.0;58.06451612903226;144.0;58.06451612903226;248;152.0;61.29032258064516
5059;Antioquia;Armenia;97;72.0;74.22680412371135;71.0;73.19587628865979;46.0;47.42268041237113;64.0;65.97938144329896;71.0;73.19587628865979;97;85.0;87.62886597938144
5079;Antioquia;Barbosa;895;555.0;62.01117318435754;555.0;62.01117318435754;303.0;33.85474860335195;555.0;62.01117318435754;555.0;62.01117318435754;899;609.0;67.74193548387096
5086;Antioquia;Belmira;143;110.0;76.92307692307693;110.0;76.92307692307693;59.0;41.25874125874126;110.0;76.92307692307693;110.0;76.92307692307693;144;117.0;81.25
5088;Antioquia;Bello;6883;4809.0;69.86779020775825;4814.0;69.94043295074822;3256.0;47.30495423507192;4818.0;69.9985471451402;4814.0;69.94043295074822;6977;5061.0;72.5383402608571
5091;Antioquia;Betania;211;185.0;87.67772511848341;185.0;87.67772511848341;116.0;54.976303317535546;185.0;87.67772511848341;185.0;87.67772511848341;212;195.0;91.98113207547169
5093;Antioquia;Betulia;375;301.0;80.26666666666667;289.0;77.06666666666668;253.0;67.46666666666667;291.0;77.60000000000001;289.0;77.06666666666668;371;315.0;84.90566037735849
5101;Antioquia;Ciudad Bolívar;584;446.0;76.36986301369863;448.0;76.71232876712328;861.0;147.43150684931507;447.0;76.54109589041096;448.0;76.71232876712328;585;513.0;87.6923076923077
5107;Antioquia;Briceño;190;248.0;130.5263157894737;248.0;130.5263157894737;189.0;99.47368421052632;248.0;130.5263157894737;248.0;130.5263157894737;191;268.0;140.31413612565444
5113;Antioquia;Buriticá;154;143.0;92.85714285714286;142.0;92.20779220779221;107.0;69.48051948051948;143.0;92.85714285714286;142.0;92.20779220779221;153;143.0;93.4640522875817
5120;Antioquia;Cáceres;920;585.0;63.58695652173913;585.0;63.58695652173913;652.0;70.86956521739131;585.0;63.58695652173913;585.0;63.58695652173913;905;812.0;89.72375690607734
5125;Antioquia;Caicedo;204;149.0;73.0392156862745;153.0;75.0;135.0;66.17647058823529;153.0;75.0;153.0;75.0;201;178.0;88.55721393034825
5129;Antioquia;Caldas;1124;1029.0;91.54804270462633;1028.0;91.45907473309609;1772.0;157.65124555160142;1025.0;91.19217081850533;1028.0;91.45907473309609;1141;1042.0;91.32340052585451
5134;Antioquia;Campamento;198;199.0;100.50505050505049;194.0;97.97979797979798;173.0;87.37373737373737;194.0;97.97979797979798;194.0;97.97979797979798;199;194.0;97.48743718592965
5138;Antioquia;Cañasgordas;373;253.0;67.828418230563;254.0;68.09651474530831;168.0;45.0402144772118;254.0;68.09651474530831;254.0;68.09651474530831;368;265.0;72.01086956521739
